APARCAMIENTO,EventTime,EventDesc
VEGUETA,01/05/2023 0:00,ENTRADA
VEGUETA,01/05/2023 0:00,SALIDA
VEGUETA,01/05/2023 0:01,SALIDA
VEGUETA,01/05/2023 0:06,ENTRADA
VEGUETA,01/05/2023 0:32,SALIDA
VEGUETA,01/05/2023 0:37,SALIDA
VEGUETA,01/05/2023 0:48,SALIDA
VEGUETA,01/05/2023 0:50,SALIDA
VEGUETA,01/05/2023 0:59,SALIDA
VEGUETA,01/05/2023 1:10,SALIDA
VEGUETA,01/05/2023 1:18,SALIDA
VEGUETA,01/05/2023 1:21,ENTRADA
VEGUETA,01/05/2023 1:34,SALIDA
VEGUETA,01/05/2023 2:21,SALIDA
VEGUETA,01/05/2023 2:21,SALIDA
VEGUETA,01/05/2023 4:27,SALIDA
VEGUETA,01/05/2023 6:25,ENTRADA
VEGUETA,01/05/2023 6:54,ENTRADA
VEGUETA,01/05/2023 7:00,SALIDA
VEGUETA,01/05/2023 7:46,ENTRADA
VEGUETA,01/05/2023 7:50,SALIDA
VEGUETA,01/05/2023 8:01,ENTRADA
VEGUETA,01/05/2023 8:18,SALIDA
VEGUETA,01/05/2023 8:29,ENTRADA
VEGUETA,01/05/2023 8:34,ENTRADA
VEGUETA,01/05/2023 8:38,ENTRADA
VEGUETA,01/05/2023 8:55,SALIDA
VEGUETA,01/05/2023 9:00,ENTRADA
VEGUETA,01/05/2023 9:01,ENTRADA
VEGUETA,01/05/2023 9:03,SALIDA
VEGUETA,01/05/2023 9:07,ENTRADA
VEGUETA,01/05/2023 9:08,ENTRADA
VEGUETA,01/05/2023 9:10,ENTRADA
VEGUETA,01/05/2023 9:12,ENTRADA
VEGUETA,01/05/2023 9:13,ENTRADA
VEGUETA,01/05/2023 9:14,SALIDA
VEGUETA,01/05/2023 9:19,ENTRADA
VEGUETA,01/05/2023 9:20,ENTRADA
VEGUETA,01/05/2023 9:21,ENTRADA
VEGUETA,01/05/2023 9:26,SALIDA
VEGUETA,01/05/2023 9:27,ENTRADA
VEGUETA,01/05/2023 9:29,ENTRADA
VEGUETA,01/05/2023 9:30,ENTRADA
VEGUETA,01/05/2023 9:31,ENTRADA
VEGUETA,01/05/2023 9:33,ENTRADA
VEGUETA,01/05/2023 9:34,ENTRADA
VEGUETA,01/05/2023 9:35,ENTRADA
VEGUETA,01/05/2023 9:37,SALIDA
VEGUETA,01/05/2023 9:39,ENTRADA
VEGUETA,01/05/2023 9:44,ENTRADA
VEGUETA,01/05/2023 9:44,ENTRADA
VEGUETA,01/05/2023 9:45,ENTRADA
VEGUETA,01/05/2023 9:46,ENTRADA
VEGUETA,01/05/2023 9:46,ENTRADA
VEGUETA,01/05/2023 9:47,ENTRADA
VEGUETA,01/05/2023 9:48,SALIDA
VEGUETA,01/05/2023 9:50,ENTRADA
VEGUETA,01/05/2023 9:50,ENTRADA
VEGUETA,01/05/2023 9:51,ENTRADA
VEGUETA,01/05/2023 9:52,SALIDA
VEGUETA,01/05/2023 9:52,ENTRADA
VEGUETA,01/05/2023 9:53,ENTRADA
VEGUETA,01/05/2023 9:53,ENTRADA
VEGUETA,01/05/2023 9:56,ENTRADA
VEGUETA,01/05/2023 9:59,ENTRADA
VEGUETA,01/05/2023 9:59,ENTRADA
VEGUETA,01/05/2023 10:00,ENTRADA
VEGUETA,01/05/2023 10:01,ENTRADA
VEGUETA,01/05/2023 10:01,ENTRADA
VEGUETA,01/05/2023 10:01,ENTRADA
VEGUETA,01/05/2023 10:01,ENTRADA
VEGUETA,01/05/2023 10:02,ENTRADA
VEGUETA,01/05/2023 10:05,ENTRADA
VEGUETA,01/05/2023 10:05,SALIDA
